STATION,STATION_NAME,DATE,HPCP
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730101 01:00,0.00
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 05:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 06:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 07:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 08:00,0.08
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 09:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 10:00,0.11
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 11:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 12:00,0.09
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 13:00,0.18
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 14:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 15:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 16:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 17:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 18:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730103 19:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730107 23:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730108 01:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730108 03:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 03:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 04:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 05:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 06:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 07:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 08:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 09:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 10:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 14:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 15:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 20:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 21:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 22:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730121 23:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730122 02:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730122 03:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730122 04:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730122 05:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730122 06:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730122 07:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730122 08:00,0.02
